security_code,issuer_name,security_id,security_name,status,group,face_value,isin_number,industry,sector_name,group_name,sub_group_name
517417,patels airtemp (i) ltd.,patelsai,patels airtemp (india) ltd.,Active,X,10,ine082c01024,capital goods,industrials,industrial manufacturing,industrial equipments
517421,butterfly gandhimathi appliances limited,butterfly,butterfly gandhimathi appliances ltd,Active,B,10,ine295f01017,consumer durables,consumer discretionary,consumer durables,household appliances
517423,integra switchgear ltd.,integsw,integra switchgear ltd.,Active,XT,10,ine0ipl01018,capital goods,industrials,electrical equipment,other electrical equipment
517429,athena global technologies limited,athenaglo,athena global technologies ltd,Active,X,10,ine576b01019,information technology,information technology,it - software,computers - software & consulting
517431,narmada macplast drip irrigation sy,narmp,narmada macplast drip irrigation systems ltd.,Active,XT,10,ine060d01010,capital goods,industrials,industrial products,plastic products - industrial
517437,dutron polymers ltd.,dutron,dutron polymers ltd.,Active,XT,10,ine940c01015,capital goods,industrials,industrial products,plastic products - industrial
517447,r s software india ltd.,rssoftware,r.s.software india ltd.,Active,B,5,ine165b01029,information technology,information technology,it - software,computers - software & consulting
517449,magna electro castings ltd.,magnaelq,magna electro castings ltd.,Active,X,10,ine437d01010,capital goods,industrials,industrial products,castings & forgings
517467,marsons limited,marsons,marsons limited,Active,Z,1,ine415b01044,capital goods,industrials,electrical equipment,other electrical equipment
517477,elnet technologies ltd.,elnet,elnet technologies ltd.,Active,X,10,ine033c01019,information technology,information technology,it - services,it enabled services
517494,accel limited,accel,accel ltd,Active,X,2,ine258c01038,information technology,information technology,it - software,computers - software & consulting
517498,websol energy system limited,webelsolar,websol energy system ltd.,Active,B,10,ine855c01015,capital goods,industrials,electrical equipment,other electrical equipment
517500,roto pumps ltd.,roto,roto pumps ltd.,Active,B,2,ine535d01029,capital goods,industrials,industrial products,compressors & pumps
517506,ttk prestige ltd.,ttkprestig,ttk prestige ltd.,Active,A,1,ine690a01028,consumer durables,consumer discretionary,consumer durables,household appliances
517514,d & h india limited,dhindia,d&h india ltd,Active,X,10,ine589d01018,capital goods,industrials,industrial manufacturing,industrial equipments
517522,rajratan global wire ltd,rajglowir,rajratan global wire ltd.,Active,B,2,ine451d01029,automobile and auto components,consumer discretionary,auto components,auto components & equipments
517530,surana telecom and power limited,suranat&p,surana telecom and power limited,Active,B,1,ine130b01031,power,utilities,power,electric utilities
517536,onward technologies ltd.,onwardtec,onward technologies ltd.,Active,B,10,ine229a01017,information technology,information technology,it - services,it enabled services
517544,centum electronics ltd,centum,centum electronics ltd.,Active,B,10,ine320b01020,capital goods,industrials,industrial manufacturing,industrial electronics
